state_letter,set_extension,encoder_position,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_x_meters,est_position_y_meters,est_position_z_meters,est_velocity_x_meters_per_s,est_velocity_y_meters_per_s,est_velocity_z_meters_per_s,est_acceleration_x_gs,est_acceleration_y_gs,est_acceleration_z_gs,est_angular_rate_x_rad_per_s,est_angular_rate_y_rad_per_s,est_angular_rate_z_rad_per_s,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,74,0,30.99096476,37.98484802,101904.93750000,0.66513240,-0.71155781,0.00738250,-0.03556545,0.21717879,0.16297001,-42.46904755,-4.76427650,-19.91197586,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090044117198
S,74,0,31.00145357,37.99436951,101903.65625000,0.66525447,-0.71131366,0.01006805,-0.09660061,0.20192000,0.06378789,-42.58232117,-5.04320192,-19.83901787,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090055074120
S,74,0,31.01387028,37.99436951,101903.64062500,0.66525447,-0.71094745,0.01311980,0.07887545,0.02644394,0.08667607,-42.45075607,-4.71778584,-19.94849396,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090064952438
S,74,0,31.02628697,37.99349976,101904.57812500,0.66586483,-0.71204609,0.01409637,0.10176364,0.11799667,0.16297001,-42.59325409,-5.10014343,-19.99470711,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090077058074
S,74,0,31.03746192,37.99902344,101902.84375000,0.66488826,-0.71070331,0.01031219,-0.05845364,-0.01933242,-0.15746455,-42.52915573,-5.03223038,-19.92002678,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090086966763
S,74,0,31.04987848,38.00444031,101903.71875000,0.66745174,-0.71241230,0.00945770,-0.01267727,-0.11851455,0.09430546,-42.51606369,-4.97438335,-19.92791176,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090099166491
S,74,0,31.06229518,38.00567627,101903.53125000,0.66464412,-0.71082538,0.01336395,0.01021091,0.00355576,0.05615849,-42.45225906,-4.82691097,-19.92657471,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090110120042
S,74,0,31.07392595,38.00329590,101903.17187500,0.66513240,-0.71082538,0.01165496,-0.04319485,0.11799667,0.07141728,-42.27954483,-4.31827688,-19.98994827,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090119964565
S,74,0,31.08612179,37.99360657,101902.46875000,0.66269100,-0.70984882,0.01116668,0.01784030,-0.15666151,-0.04302363,-42.36845779,-4.50444365,-19.99029732,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090132121552
S,74,0,31.09837155,38.00167847,101902.53125000,0.66610897,-0.71143574,0.01116668,-0.12711819,0.07984970,0.01038213,-42.29479218,-4.30461168,-19.87400627,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090143064381
