state_letter,set_extension,encoder_position,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_x_meters,est_position_y_meters,est_position_z_meters,est_velocity_x_meters_per_s,est_velocity_y_meters_per_s,est_velocity_z_meters_per_s,est_acceleration_x_gs,est_acceleration_y_gs,est_acceleration_z_gs,est_angular_rate_x_rad_per_s,est_angular_rate_y_rad_per_s,est_angular_rate_z_rad_per_s,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,30,0,129.43089324,26.33137512,101614.06250000,-0.66855514,-0.66645235,0.31619412,2.59985185,2.04890680,-0.26263300,-23.94073868,-42.14696121,-16.31602859,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01974248,-0.01948197,0.99943000,0.00642051,0.05378115,-0.00684690,0.04541548,-0.02077746,0.58518773,-0.80935854,,,,1,0,1771692778115856542
S,30,0,129.44089412,26.34071350,101614.78125000,-0.66708386,-0.66547698,0.32180396,1.98950016,1.54536676,-0.01849239,-23.89750099,-42.19527817,-16.25514221,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01971688,-0.01887764,0.99926901,0.00322139,0.05246454,-0.00019092,0.04686961,-0.01965573,0.58663833,-0.80825281,,,,1,0,1771692778126848922
S,30,0,129.45248644,26.33454895,101615.20312500,-0.65593362,-0.67219973,0.32997945,1.07397294,0.67561591,-0.04900997,-23.89148331,-42.17739105,-16.34045792,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01993789,-0.01883407,0.99913275,0.00453930,0.03269867,-0.00657956,0.04668517,-0.02039096,0.58645493,-0.80837822,,,,1,0,1771692778137831092
S,30,0,129.46339273,26.32830811,101614.70312500,-0.64686710,-0.68050772,0.33083773,0.54754472,-0.07206473,-0.47625604,-23.90364075,-42.20738602,-16.25518990,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02077442,-0.01920953,0.99901497,0.00331577,0.00982209,-0.00231947,0.04514088,-0.02237923,0.58545357,-0.80913889,,,,1,0,1771692778148826413
S,30,0,129.47469523,26.34254456,101614.79687500,-0.65164214,-0.68343359,0.32547006,-0.25354165,-0.74345142,-0.13293330,-23.92846680,-42.15315247,-16.35262489,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02161587,-0.01932950,0.99892217,0.00726714,-0.00787555,-0.00644618,0.04414379,-0.02341844,0.58552080,-0.80911583,,,,1,0,1771692778159769908
S,30,0,129.48589505,26.33879089,101616.56250000,-0.65911782,-0.67305171,0.32644165,-0.32983559,-1.03336835,-0.31603876,-23.87295341,-42.18333435,-16.29776192,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02255381,-0.01929414,0.99887198,0.00632722,-0.01409072,-0.00617995,0.04444003,-0.02341792,0.58575559,-0.80892968,,,,1,0,1771692778170761400
S,30,0,129.49702265,26.33811951,101617.01562500,-0.67136735,-0.66046870,0.33204433,-0.16961831,-0.78159839,-0.25500360,-23.89745522,-42.18301010,-16.20631409,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02263202,-0.01936867,0.99891597,0.00482173,-0.01503213,-0.00618024,0.04639282,-0.02123758,0.58546901,-0.80908769,,,,1,0,1771692778181760956
S,30,0,129.50714811,26.33879089,101614.59375000,-0.67491949,-0.65265334,0.34057802,0.31103352,-0.20939383,-0.11767451,-23.88530540,-42.16518784,-16.30991745,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02180231,-0.01974497,0.99896091,0.00660989,-0.00401776,-0.00418299,0.04856391,-0.01798338,0.58444834,-0.80977684,,,,1,0,1771692778192780895
S,30,0,129.51894658,26.35052490,101614.67187500,-0.67687672,-0.65680218,0.33716279,0.49413899,0.21022286,0.04254276,-23.84233475,-42.17769623,-16.41357803,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02117906,-0.01992050,0.99904245,0.00839764,0.00492418,-0.00790964,0.04868375,-0.01701001,0.58426261,-0.80992448,,,,1,0,1771692778203718360
S,30,0,129.52964492,26.33840942,101615.32812500,-0.66205221,-0.67207277,0.33509758,1.02819657,0.43910468,0.05780155,-23.86067009,-42.21989441,-16.35885048,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02096112,-0.02010357,0.99923342,0.00340992,0.01236165,0.00127507,0.04716581,-0.01801271,0.58422488,-0.81001991,,,,1,0,1771692778214751265
