state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,est_tilt_angle_degrees,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,122,0,16.26675,481.9512195121951,80.53797254,36.70103455,98484.60937500,-0.73564368,0.67751843,-0.02586415,-0.00252885,0.09745015,0.99567509,3.52453399,-0.64747030,0.67215151,0.07935303,-10.01956558,-46.32249451,-20.41915894,-0.79578000,0.02590779,0.00007342,-0.03466952,-0.71563882,0.00490081,0.69759238,,,,1,0,1777050676801480916
S,122,0,16.27885,280.9756097560976,80.54803578,36.69213867,98483.70312500,-0.73028141,0.68264198,-0.02549179,-0.00260329,0.09038774,0.99588376,3.54303956,-0.89161092,0.74081606,0.30060545,-10.05101109,-46.39496613,-20.40091705,-0.80225247,0.01405194,0.00003982,-0.03487271,-0.71563119,0.00495092,0.69758976,,,,1,0,1777050676811684868
S,122,0,16.26693,282.92682926829264,80.55934884,36.69639587,98482.96875000,-0.72638315,0.68898809,-0.02451139,-0.00329781,0.08350065,0.99797547,3.55655313,-1.11286330,0.91629213,0.36164060,-10.02005863,-46.43098450,-20.30964661,-0.80625027,0.00672674,0.00001906,-0.03507064,-0.71560848,0.00495177,0.69760311,,,,1,0,1777050676823472522
S,122,0,16.26728,287.0731707317073,80.57113567,36.69610596,98482.46875000,-0.72162449,0.69362622,-0.01805026,-0.00944090,0.07642336,0.99812603,3.54696131,-0.99079305,0.66452211,0.41504636,-10.05082607,-46.37692642,-20.34620476,-0.80020607,0.01640020,0.00004648,-0.03510100,-0.71559477,0.00480328,0.69761670,,,,1,0,1777050676833661769
S,122,0,16.275319999999997,284.8780487804878,80.58074126,36.69909668,98482.39062500,-0.72040874,0.69582212,-0.02011872,-0.00726765,0.07407438,0.99901056,3.54237652,-1.12049270,0.87814516,0.39215818,-10.04443073,-46.35281754,-20.31580925,-0.79729962,0.02086692,0.00005913,-0.03514273,-0.71558303,0.00470974,0.69762725,,,,1,0,1777050676844649600
S,122,0,16.262890000000002,318.0487804878049,80.59332038,36.69242859,98481.82812500,-0.71394974,0.70179939,-0.01998858,-0.00698864,0.06503257,0.99918377,3.52864242,-0.83820516,0.71029848,0.38452879,-10.03230953,-46.36469650,-20.47387314,-0.79004663,0.03245638,0.00009198,-0.03515140,-0.71557200,0.00452571,0.69763941,,,,1,0,1777050676855637634
S,122,0,16.25908,311.9512195121951,80.60338354,36.70065308,98480.75000000,-0.71016538,0.70497310,-0.01340713,-0.01331478,0.05927501,0.99890500,3.50011778,-0.54828817,0.63400453,0.23194091,-10.08241844,-46.42518616,-20.53470802,-0.77679908,0.05397544,0.00015296,-0.03503223,-0.71556836,0.00426499,0.69765073,,,,1,0,1777050676866615643
S,122,0,16.251260000000002,414.8780487804878,80.61522379,36.70085144,98481.04687500,-0.71004587,0.70497209,-0.01596462,-0.01075530,0.05874658,0.99891877,3.47141576,-0.17444785,0.16098212,0.30060545,-10.07553577,-46.34089279,-20.41314316,-0.76333833,0.07538673,0.00021364,-0.03487287,-0.71557611,0.00403283,0.69765210,,,,1,0,1777050676877620491
S,122,0,16.2638,683.9024390243903,80.62614536,36.71099854,98481.29687500,-0.70944321,0.70619005,-0.02241848,-0.00426358,0.05750229,0.99959600,3.45751333,0.25279820,-0.33492848,0.30823484,-9.97549629,-46.24399567,-20.31578064,-0.75547051,0.08698801,0.00024651,-0.03476577,-0.71558058,0.00394952,0.69765335,,,,1,0,1777050676888592488
S,122,0,16.264870000000002,290.9756097560975,80.63608910,36.69920349,98481.56250000,-0.70931321,0.70265108,-0.01718272,-0.00953901,0.05936900,0.99675643,3.44940615,0.61900914,-0.51040453,0.20905273,-10.05136490,-46.43708801,-20.47385406,-0.75072187,0.09384380,0.00026594,-0.03467300,-0.71558946,0.00392530,0.69764912,,,,1,0,1777050676900334711
