state,extension,timestamp,gpsCorrelTimestampFlags,gpsCorrelTimestampTow,gpsCorrelTimestampWeekNum,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,estOrientQuaternionW,estPressureAlt,estFilterState,estFilterDynamicsMode,estFilterStatusFlags,estAttitudeUncertQuaternionX,estAttitudeUncertQuaternionY,estAttitudeUncertQuaternionZ,estAttitudeUncertQuaternionW,estAngularRateX,estAngularRateY,estAngularRateZ,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ
TEST_STATE,0.5,1726608208414369024,6,304.446991,0,0.03637311608,0.003316709772,0.9981481433,0.03807344288,0.04573576152,0.05901730433,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208415365376,6,304.447998,0,0.04437878728,-0.01158969197,0.9988310933,0.03997002169,0.04513595626,0.0621410124,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208417434112,,,,,,,,,,304.447998,0,0.004149158951,-0.6484127045,-0.761046946,-0.01874559559,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.04193338007,0.04671958834,0.05462519825,0.2662575245,0.09585265815,9.849987984
TEST_STATE,0.5,1726608208416360960,6,304.4490051,0,0.04055234045,-0.02194647864,1.002252579,0.0373172611,0.0448038727,0.06531985849,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208417360896,6,304.4500122,0,0.03725628927,-0.02258981019,1.001795411,0.03836869821,0.04150000587,0.06792672724,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208419431936,,,,,,,,,,304.4500122,0,0.004210947081,-0.6484552026,-0.761010468,-0.01874275319,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.0408016555,0.04235063121,0.05968277156,0.4437202811,-0.1036930382,9.778193474
TEST_STATE,0.5,1726608208418359808,6,304.4509888,0,0.03007026203,-0.01357131545,1.003737807,0.03422351554,0.0433367677,0.06863610446,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208419357952,6,304.4519958,0,0.02486844361,-0.007986441255,1.00453186,0.03424021974,0.04476882145,0.0630402118,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208421427968,,,,,,,,,,304.4519958,0,0.004269197118,-0.6485019326,-0.7609704137,-0.01873868331,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.03904217854,0.03961500898,0.065615125,0.3592900038,-0.2527147532,9.835752487
TEST_STATE,0.5,1726608208420360704,6,304.4530029,0,0.0223669,-0.007856963202,1.000404358,0.03308941051,0.04310687631,0.05881929398,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208421362688,6,304.45401,0,0.0198610276,-0.005657376722,0.9947981238,0.02989899181,0.0408612974,0.0565261133,,,,,,,,,,,,,,,,,,,,
